id;nombre_deporte;descripcion;horarios_disponibles;participantes_inscritos
1;index Infraestructura;Bacon;open-source;input Monte
2;Reducido Ecuador;Hormigon;Atún;Algodón
3;Cuentas Cantabria sensor;copy multi-byte;program Blanco Account;Dollar Director
4;Arquitecto Sabroso Genérico;Director payment Personal;Buckinghamshire Ladrillo;Loan Librería Práctico
5;Violeta;generate blockchains Buckinghamshire;Cambridgeshire intangible Bedfordshire;Facilitador
6;1080p;transmitting;Teclado Pasaje;Calidad Adelante
7;Camino;interactiva;transmit Sincronizado;calculate Enfocado Paradigma
8;núcleo;Verde withdrawal;maximize Borders Diverso;programming
9;Guapo EXE Bebes;vortals local collaborative;bypassing auxiliary end-to-end;Sheqel Loan Aragón
10;Silla schemas PCI;quantifying Música;sistemática Yuan;generate
