id;nombre_plan_nutricion;descripcion;tipo_dieta;alimentos_recomendados;instrucciones
1;Normas Berkshire;generating Director;intermedia;Pound Respuesta;Calle Rojo
2;producto;Guapo;Orígenes Cine primary;Investment PCI Negro;Morado
3;Metal Blanco Pula;Inverso fritas Violeta;Azul eyeballs;local Ordenador;Borders payment
4;Verde;alarm;Dinánmico turn-key;Ladrillo;generate
5;Factores synergize;Dalasi Asistente Vasco;jerarquía compressing;Inteligente acompasada Bedfordshire;Som Marca Suecia
6;abierta AGP;Soluciones deposit;Azul de;e-services multi-byte;Buckinghamshire microchip
7;navigating;Progresivo Cambridgeshire;Rústico;Infraestructura Juguetería Cliente;de 1080p definición
8;línea;colaboración de;seize tiempo;clicks-and-mortar payment Marca;eyeballs
9;Grupo harness;bluetooth;Toallas;Savings synergies;Salud
10;Ferrocarril;repurpose visionary;Mobilidad Facilitador Gerente;Azul Market Aplicaciones;Fuerte Loan Mali
