id;nombre_plan;descripcion;tipo;duracion;instrucciones
1;deposit;Colonia Plástico;mejora cross-platform Gorro;15248;Algerian primary extensible
2;Cine Planificador Hormigon;Aplicaciones Coche cross-platform;JSON parsing;85735;núcleo en SSL
3;uniforme;connecting Bedfordshire Granito;Asociado;67251;Loan Marketing
4;Automatizado;Hecho;payment index;521;Web
5;Gorro;Municipio systems;Gris;9292;up Macao Pollo
6;Facilitador;Informática;Raton hacking archivo;14797;JSON
7;Salchichas card Enfocado;Madera methodologies Azul;end-to-end Metal deposit;21055;Vasco Polígono
8;index;haptic Inteligente;Liberia Blanco e-business;92249;incremental soluciones
9;Marketing Inversor Gris;de canal Informática;Méjico;33482;Consultor
10;Metal Decoración;Baleares microchip;transmitter Arroyo;15544;Región
