id;nombre_plan;descripcion;tipo;duracion;instrucciones
1;Investigación Murcia y;Ensalada;Blanco firewall;2121;Heredado hack payment
2;Somoni;world-class;withdrawal;8875;Poblado Automatizado Comunidad
3;Card;port navigate;Berkshire Inteligente;15785;Salud Guapa online
4;optical;Profundo withdrawal;firewall;69721;Azul parsing
5;Investment Decoración brand;Teclado;Bedfordshire interface embrace;14624;Lesotho cero
6;hibrida Amarillo;Pequeño asíncrona compressing;Armenian alarm deposit;39440;Comoro
7;Global Indonesia;Estratega wireless Principado;Ladrillo Cataluña HDD;83416;ADP implement
8;Pequeño Jefe;Multi Sopa;compressing reboot Navarra;74912;Salida
9;incentivize USB Pequeño;compressing;Pescado reintermediate;26084;Analista ADP haptic
10;backing;Producto;International solid;99204;Sabroso Deportes
