id;titulo_video;descripcion_video;url_video;duracion
1;software;Administrador;Bricolaje;85601
2;Gerente end-to-end;Ensalada withdrawal;Gerente;89108
3;Violeta Asistente;heurística;Configuración Productor matrix;62217
4;Patatas 1080p optimize;Account por;Rojo Bebes;28392
5;Camboya Algodón Granito;La SQL 1080p;Muelle Administrador leading-edge;53950
6;Guapa users;Versatil;e-enable Tácticas;91307
7;Borders Ensalada escalable;Sincronizado;24 Violeta;91125
8;XSS Granito;transition Deportes;Pelota redundant Estratega;93966
9;Metal;reboot Decoración;Mascotas 4th Islandia;4262
10;Avon;Gris sensor;solución technologies Zapatos;17583
