id;titulo_video;descripcion_video;url_video;duracion;fecha_publicacion
1;killer Cedi Datos;Algodón Hormigon data-warehouse;IB;71948;2024-02-22T00:58:24
2;interface arquitectura Sorprendente;payment Joyería Rojo;Central;83195;2024-02-22T05:02:16
3;Polígono;interactive Rojo;Galicia functionalities;54371;2024-02-21T23:06:52
4;invoice indexing Verde;Montserrat Estratega;global;99598;2024-02-21T18:33:56
5;networks;copying;Luxemburgo Granito Granito;53049;2024-02-21T18:03:26
6;Mesa;programming Senior;channels;75643;2024-02-21T15:07:40
7;invoice embrace Hormigon;indexing Ladrillo;open-source Relacciones;22872;2024-02-21T16:46:39
8;Queso;functionalities;aggregate Mesa;88685;2024-02-22T03:46:10
9;overriding;TCP Cliente;copying;39512;2024-02-22T11:41:19
10;interactive capacidad;acompasada;magnetic Proactivo;80175;2024-02-21T21:11:11
